[Data]
	C.O.V. Position									Rover Pose			Bogey Angles		Wheel position												time
	X			Y			Z			Pose			Right Bogey Angle	Left Bogey Angle	Left Front			Left Rear			Right Front			Right Rear			time
Index	Acceleration	Velocity	Position	Acceleration	Velocity	Position	Acceleration	Velocity	Position	Pitch	Yaw	Roll	Right	Left	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	Series
1																											0.000000
2																											0.016667
3																											0.033333
4																											0.050000
5																											0.066667
6																											0.083333
7																											0.100000
8																											0.116667
9																											0.133333
10																											0.150000
11																											0.166667
12																											0.183333
13																											0.200000
14																											0.216667
15																											0.233333
16																											0.250000
17																											0.266667
18																											0.283333
19																											0.300000
20																											0.316667
21																											0.333333
22																											0.350000
23																											0.366667
24																											0.383333
25																											0.400000
26																											0.416667
27																											0.433333
28																											0.450000
29																											0.466667
30																											0.483333
31																											0.500000
32																											0.516667
33																											0.533333
34																											0.550000
35																											0.566667
36																											0.583333
37																											0.600000
38																											0.616667
39																											0.633333
40																											0.650000
41																											0.666667
42																											0.683333
43																											0.700000
44																											0.716667
45																											0.733333
46																											0.750000
47																											0.766667
48																											0.783333
49																											0.800000
50																											0.816667
51																											0.833333
52																											0.850000
53																											0.866667
54																											0.883333
55																											0.900000
56																											0.916667
57																											0.933333
58																											0.950000
59																											0.966667
60																											0.983333
61																											1.000000
62																											1.016667
63																											1.033333
64																											1.050000
65																											1.066667
66																											1.083333
67																											1.100000
68																											1.116667
69																											1.133333
70																											1.150000
71																											1.166667
72																											1.183333
73																											1.200000
74																											1.216667
75																											1.233333
76																											1.250000
77																											1.266667
78																											1.283333
79																											1.300000
80																											1.316667
81																											1.333333
82																											1.350000
83																											1.366667
84																											1.383333
85																											1.400000
86																											1.416667
87																											1.433333
88																											1.450000
89																											1.466667
90																											1.483333
91																											1.500000
92																											1.516667
93																											1.533333
94																											1.550000
95																											1.566667
96																											1.583333
97																											1.600000
98																											1.616667
99																											1.633333
100																											1.650000
101																											1.666667
102																											1.683333
103																											1.700000
104																											1.716667
105																											1.733333
106																											1.750000
107																											1.766667
108																											1.783333
109																											1.800000
110																											1.816667
111																											1.833333
112																											1.850000
113																											1.866667
114																											1.883333
115																											1.900000
116																											1.916667
117																											1.933333
118																											1.950000
119																											1.966667
120																											1.983333
121																											2.000000
122																											2.016667
123																											2.033333
124																											2.050000
125																											2.066667
126																											2.083333
127																											2.100000
128																											2.116667
129																											2.133333
130																											2.150000
131																											2.166667
132																											2.183333
133																											2.200000
134																											2.216667
135																											2.233333
136																											2.250000
137																											2.266667
138																											2.283333
139																											2.300000
140																											2.316667
141																											2.333333
142																											2.350000
143																											2.366667
144																											2.383333
145																											2.400000
146																											2.416667
147																											2.433333
148																											2.450000
149																											2.466667
150																											2.483333
151																											2.500000
152																											2.516667
153																											2.533333
154																											2.550000
155																											2.566667
156																											2.583333
157																											2.600000
158																											2.616667
159																											2.633333
160																											2.650000
161																											2.666667
162																											2.683333
163																											2.700000
164																											2.716667
165																											2.733333
166																											2.750000
167																											2.766667
168																											2.783333
169																											2.800000
170																											2.816667
171																											2.833333
172																											2.850000
173																											2.866667
174																											2.883333
175																											2.900000
176																											2.916667
177																											2.933333
178																											2.950000
179																											2.966667
180																											2.983333
181																											3.000000
182																											3.016667
183																											3.033333
184																											3.050000
185																											3.066667
186																											3.083333
187																											3.100000
188																											3.116667
189																											3.133333
190																											3.150000
191																											3.166667
192																											3.183333
193																											3.200000
194																											3.216667
195																											3.233333
196																											3.250000
197																											3.266667
198																											3.283333
199																											3.300000
200																											3.316667
201																											3.333333
202																											3.350000
203																											3.366667
204																											3.383333
205																											3.400000
206																											3.416667
207																											3.433333
208																											3.450000
209																											3.466667
210																											3.483333
211																											3.500000
212																											3.516667
213																											3.533333
214																											3.550000
215																											3.566667
216																											3.583333
217																											3.600000
218																											3.616667
219																											3.633333
220																											3.650000
221																											3.666667
222																											3.683333
223																											3.700000
224																											3.716667
225																											3.733333
226																											3.750000
227																											3.766667
228																											3.783333
229																											3.800000
230																											3.816667
231																											3.833333
232																											3.850000
233																											3.866667
234																											3.883333
235																											3.900000
236																											3.916667
237																											3.933333
238																											3.950000
239																											3.966667
240																											3.983333
241																											4.000000
242																											4.016667
243																											4.033333
244																											4.050000
245																											4.066667
246																											4.083333
247																											4.100000
248																											4.116667
249																											4.133333
250																											4.150000
251																											4.166667
252																											4.183333
253																											4.200000
254																											4.216667
255																											4.233333
256																											4.250000
257																											4.266667
258																											4.283333
259																											4.300000
260																											4.316667
261																											4.333333
262																											4.350000
263																											4.366667
264																											4.383333
265																											4.400000
266																											4.416667
267																											4.433333
268																											4.450000
269																											4.466667
270																											4.483333
271																											4.500000
272																											4.516667
273																											4.533333
274																											4.550000
275																											4.566667
276																											4.583333
277																											4.600000
278																											4.616667
279																											4.633333
280																											4.650000
281																											4.666667
282																											4.683333
283																											4.700000
284																											4.716667
